date    month   hour    min     pa min  pa mid  pa max  confidence

13	11	09	05	280	300	330	1
18	11	06	49	<210	230	250	0
24	11	16	10	260	290	310	1
26	11	09	30	255	300	340	0
28	11	04	10	215	255	280	2
28	11	11	30	<210	265	>340	2    x
30	11	20	50	<210	250	325	1    x
03	12	05	30	315	340	>340	1
05	12	07	30	240	330	>340	1
05	12	17	06	<210	260	300	2
10	12	07	06	225	325	>340	1
12	12	13	06	<210	230	290	2
14	12	13	06	<210	240	280	1
21	12	12	10	220	235	290	0
22	12	00	10	300	320	>340	1
24	12	03	30	300	320	>340	1
26	12	07	30	<210	270	>340	2
28	12	13	30	220	260	295	1
29	12	11	06	285	315	335	1
29	12	14	09	210	255	285	1
30	12	05	06	<210	250	290	1
31	12	14	06	210	265	305	2
