date    month   hour    min     pa min  pa mid  pa max  confidence

01	01	06	05	90	100	135	1
02	01	13	05	100	115	135	1
04	01	23	05	<30	90	>165	2
06	01	05	05	<30	80	>165	2
07	01	06	05	<30	70	>165	2
07	01	20	05	<30	115	>165	2
08	01	09	05	30	0	95	0
09	01	10	05	55	130	160	1
09	01	21	05	60	0	85	0
10	01	10	05	75	130	150	2
14	01	03	05	120	130	>165	2
16	01	22	49	120	130	>165	1
19	01	08	05	115	0	155	0
21	01	14	05	55	85	>160	2
28	01	17	05	135	0	160	0
29	01	06	05	90	120	>160	1
30	01	21	29	60	120	>160	1
31	01	22	49	<30	0	80	0
02	02	13	29	40	75	>160	2
03	02	01	29	100	130	>160	1
04	02	04	09	75	105	>160	1
05	02	11	29	75	0	130	0
06	02	12	09	30	60	85	1
08	02	06	09	90	0	>160	0
11	02	14	49	35	0	100	0
11	02	22	09	<30	95	>160	2
12	02	12	09	<30	0	>160	0
13	02	02	09	85	110	>160	1
14	02	11	29	<30	105	>160	2
16	02	14	09	55	0	125	0
18	02	05	29	<30	85	>160	1
19	02	22	49	85	0	>160	0
20	02	10	09	35	95	140	1
21	02	00	49	85	0	140	0
23	02	10	09	90	110	135	1
24	02	04	49	30	60	95	1
25	02	03	29	<25	85	160	1
05	03	01	05	<25	50	80	1
05	03	11	05	30	65	85	1
12	03	20	09	40	0	80	0
13	03	02	05	75	125	135	1
15	03	20	09	35	55	90	1
19	03	22	05	40	0	100	0
22	03	14	09	25	110	135	2
24	03	10	49	100	0	140	0
25	03	09	29	40	85	150	1
29	03	05	05	<25	50	85	1
29	03	12	05	50	105	125	1
29	03	22	05	<25	75	95	1
30	03	16	05	<25	95	130	1
01	04	00	05	50	0	110	0
02	04	18	05	<20	0	>155	1
03	04	11	05	90	0	>155	2
04	04	04	05	95	0	>155	1
06	04	14	49	<20	0	80	0
16	04	22	49	75	0	125	0
18	04	02	09	90	0	155	1
18	04	14	49	<20	0	>155	2
23	04	06	49	30	0	80	0
23	04	18	09	85	0	>150	0
24	04	05	29	85	0	>150	0
25	04	05	29	40	0	130	1
29	04	05	29	50	0	100	0
01	05	08	49	95	0	150	0
03	05	10	09	40	0	100	1
04	05	00	49	25	0	135	1
04	05	18	49	80	0	135	0
05	05	05	29	40	0	110	1
06	05	20	49	60	0	115	1
07	05	18	49	<20	0	150	2
09	05	04	49	<20	0	>150	2
10	05	07	29	<20	0	>150	1
14	05	13	29	<20	0	110	1
16	05	08	49	60	0	125	0
20	05	10	09	25	0	85	0
20	05	18	49	30	0	130	0
22	05	20	49	30	0	65	0
26	05	00	49	75	0	130	0
26	05	13	29	60	0	150	2
27	05	01	29	105	0	130	0
29	05	03	29	115	0	150	0
29	05	06	09	20	0	80	0
31	05	12	09	70	0	120	0
02	06	13	29	30	0	140	2
05	06	01	29	85	0	>150	0
05	06	18	09	<15	0	>150	1
07	06	14	09	50	0	130	1
12	06	19	29	105	0	140	0
13	06	00	49	40	0	150	2
15	06	16	49	40	0	>150	1
17	06	11	29	30	0	>150	1
21	06	12	09	15	0	85	0
26	06	12	09	<15	0	90	1
27	06	09	29	20	0	110	1
29	06	06	49	25	0	80	1
01	07	02	49	60	0	115	0
01	07	07	29	20	0	60	0
19	07	03	29	105	0	130	0
20	07	23	29	20	0	45	0
22	07	14	09	55	0	100	0
22	07	22	09	<15	0	70	1
26	07	21	29	55	0	130	2
30	07	11	29	<15	0	95	2
01	08	07	29	35	0	95	1
01	08	17	29	<20	0	70	1
04	08	03	29	<20	0	60	1
06	08	09	29	<20	0	120	0
08	08	22	09	<20	0	>150	0
14	08	23	29	50	0	80	0
