date    month   hour    min     pa_N    pa_mid  pa_S    quality

01	01	11	29	 75	 80	 85	0  sf
01	01	22	49	 70	 95	105	1   f
05	01	17	29	 95	100	110	0 bs
07	01	20	49	 70	 90	105	1
09	01	08	49	 55	 85	120	2
10	01	06	09	 60	 80	110	1
10	01	19	29	 80	 90	 95	0  s
14	01	14	09	 60	 80 	110	2
22	01	06	49	<25	 75	>155	1    x
29	01	11	29	 90	100	105	0  sf
30	01	18	49	 85	 95	105	0   f
31	01	07	29	 40	 55 	100	1   f
06	02	00	09	 95	110	115	0   f
11	02	09	29	 85	 95	110	2
13	02	16	09	 70	 90	110	1
18	02	16	49	 50	 75	100	2
03	03	03	29	 75	 80	 90	0  sf
05	03	19	29	 90	100	115	1   f
07	03	22	09	100	110	115	0  s
08	03	10	49	 70	 80	 95	1   f
11	03	14	49	 70	 95	115	2 b			Massive one but loads of missing data at the start
17	03	01	29	 45	 65	120	0   fx
18	03	14	49	 50	 80	100	2
25	03	00	09	 80	 85	 90	0  sf
31	03	19	29	 75	 90	105	1   f
09	04	15	29	 60	 80	110	0
14	04	13	29	 55	 85	100	2
17	04	23	29	 55	 80	115	2
19	04	05	29	 70	 80 	 95	0   f
19	04	18	49	 80	 90	 95	0  sf
23	04	10	49	 50	 80	130	2    x
30	04	12	09	100	105	110	0  s
06	05	22	09	 75	 85	 95	0   f
09	05	17	29	 65	 90	115	1   fx
13	05	01	29	---	 80	---	0   fx
14	05	03	29	 45	 75	 95	2
21	05	23	29	 85	 90	 95	0  sf
22	05	22	49	 70	 90	120	1
31	05	12	49	 65	 85	100	2   f
14	06	00	49	 65	 85	115	2
16	06	12	49	 65	 95	115	1 b
20	06	14	49	 55	 75	 90	1
23	06	13	29	 80	100	120	2
26	06	23	29	 55	 85	110	2
30	06	23	29	 55	 80	145	1   fx
11	07	02	49	 80	 90	105	1
13	07	20	49	 90	105	120	1
16	07	04	49	 80	 95	110	1
16	07	19	29	 90	100	110	0   f
26	07	12	09	 55	 75	105	2   f
31	07	13	29	 60	 80	100	1   f
01	08	01	29	<20	 50	115	0   fx
05	08	00	49	 70	100	>150	1    x
09	08	08	49	 75	 95	110	1   f
12	08	16	09	---	---	---	0 b f
19	08	20	49	 70	 90	115	1 b
24	08	07	29	 35	 55	 80	0   f
25	08	16	09	 45	 80	110	2
26	08	16	49	 75	 85	 90	0  s
31	08	14	49	---	 75	---	0   fx
01	09	16	09	 85	 95	100	0  s
03	09	23	29	 65	 85	110	1
05	09	20	09	 65	 85	 90	0   f
09	09	16	09	 70	 95	110	0 b f
11	09	08	49	 85	 90	 95	0  sf
13	09	06	49	 80	 90	100	1
22	09	04	49	 70	 80	 95	1
22	09	20	49	 70	 80	 85	0  s
27	09	12	09	 55	 80	115	2    x
01	10	02	49	 85	100	110	1 b f
02	10	00	09	 75	 85	100	1 b
03	10	20	49	 85	 90	 95	0 bsf
04	10	18	49	 80	 85	 95	0 bsf
18	10	00	09	 80	 85	100	0 b			Data gap misses the start of this one
18	10	02	49	 70	 85	125	2
24	10	12	49	 70	 95	120	1 b			Data gap misses the start
25	10	14	49	 70	 75	 85	0  s
28	10	01	29	 65	 85	 95	1
31	10	11	29	<15	 80	>150	2    x
02	11	16	09	 65	 70	 75	0  sf
05	11	20	09	 70	105	120	1    x
07	11	16	49	 85	 90	100	0  sf
16	11	06	49	 85	 95	110	0 bsf
21	11	07	29	 50	 90	120	2
26	11	04	09	 80	 90	 95	0  s
28	11	14	09	 80	100	120	1   f
02	12	22	09	 80	 95	110	0 b f
07	12	00	39	 70	 95	115	1   f
10	12	12	09	 65	 75	 90	0   f
13	12	14	09	 70	 80	 85	0  s
13	12	17	29	 80	 90	110	1
16	12	08	09	 55	 80	110	2    x
17	12	17	29	 60	 80	120	0   f
22	12	03	29	 50	 75	105	1 b
23	12	02	49	 60	 75	 85	0   f
30	12	21	29	 75	 90	100	1
